Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N6_p30_20250626_225804,727,729,728,,,,,,,,338,338,32,,,,,,,,7378,11770,13958,,,,,,,,2184,708,33106,ok
N6_p30_20250626_231129,727,729,728,731,727,727,727,,,,275,275,275,338,275,275,176,,,,8471,14746,13798,14123,13720,19375,7869,,,,5096,1889,92102,ok
N6_p30_20250626_232201,727,729,727,727,728,,,,,,275,338,270,275,68,,,,,,11189,15488,21863,12437,10788,,,,,,3638,1226,71765,ok
N8_p100_20250626_233011,744,745,743,,,,,,,,878,1097,536,,,,,,,,9759,18025,16969,,,,,,,,2232,2511,44753,ok
N8_p100_20250626_233451,744,746,,,,,,,,,1108,905,,,,,,,,,9425,24591,,,,,,,,,1490,2013,34016,fail
N8_p100_20250626_233941,744,746,,,,,,,,,905,1053,,,,,,,,,7842,25546,,,,,,,,,1490,1958,33388,fail
N8_p100_20250626_234401,744,746,,,,,,,,,905,1108,,,,,,,,,11625,18798,,,,,,,,,1490,2013,30423,fail
N8_p100_20250626_234758,744,746,,,,,,,,,1108,1097,,,,,,,,,9410,18823,,,,,,,,,1490,2205,28233,fail
N6_p30_20250627_001322,727,729,728,,,,,,,,338,275,131,,,,,,,,8091,10565,12499,,,,,,,,2184,744,31155,ok
N6_p30_20250627_001601,727,729,728,,,,,,,,275,275,32,,,,,,,,7938,8234,3382,,,,,,,,2184,582,19554,ok
